number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,3.7911784242677,2025-10-24 01:34:22.701433,2025-10-24 01:34:37.861205,0 days 00:00:15.159772,0.5779972601681014,0.2904180608409973,0.06504856968981275,12,6,218,0.6245760287469893,0.002570603566117598,0.5780093202212182,COMPLETE
1,3.814089320214587,2025-10-24 01:34:37.863068,2025-10-24 01:34:41.347917,0 days 00:00:03.484849,0.5909124836035503,0.9170225492671691,0.2526878207508456,3,9,369,5.472429642032198e-06,0.00052821153945323,0.6061695553391381,COMPLETE
2,3.811463327098868,2025-10-24 01:34:41.349819,2025-10-24 01:34:45.148334,0 days 00:00:03.798515,0.6831809216468459,2.28034992108518,0.032781876533976156,5,2,244,0.1165691561324743,6.267062696005991e-07,0.6460723242676091,COMPLETE
3,6.087035201541109,2025-10-24 01:34:45.149978,2025-10-24 01:34:55.614359,0 days 00:00:10.464381,0.5325257964926398,4.7444276862666666,0.0013033567475147442,8,7,281,4.905556676028774,0.18861495878553936,0.5852620618436457,COMPLETE
4,3.930147645601955,2025-10-24 01:34:55.615887,2025-10-24 01:34:57.484464,0 days 00:00:01.868577,0.7475884550556351,0.17194260557609198,0.04953682563497157,3,5,187,1.527156759251193,2.133142332373004e-06,0.5610191174223894,COMPLETE
5,3.76105628912885,2025-10-24 01:34:57.486084,2025-10-24 01:35:05.175390,0 days 00:00:07.689306,0.9847923138822793,3.8756641168055728,0.01942099825171803,6,6,348,2.854239907497756,1.1309571585271483,0.5924272277627636,COMPLETE
6,5.573129181471639,2025-10-24 01:35:05.177070,2025-10-24 01:35:58.509082,0 days 00:00:53.332012,0.6626651653816322,1.9433864484474102,0.0016565580440884786,12,2,319,2.7678419414850017e-06,0.28749982347407854,0.522613644455269,COMPLETE
7,3.8804437810082746,2025-10-24 01:35:58.511044,2025-10-24 01:36:02.037245,0 days 00:00:03.526201,0.5372753218398854,4.9344346830025865,0.022096526145513846,5,2,210,0.08916674715636537,6.143857495033091e-07,0.9010984903770198,COMPLETE
8,3.845996117001343,2025-10-24 01:36:02.038831,2025-10-24 01:36:08.043631,0 days 00:00:06.004800,0.5370223258670452,1.7923286427213632,0.0563600475052774,11,8,52,1.1036250149900698e-07,0.5860448217200517,0.8856351733429728,COMPLETE
9,5.709692984632783,2025-10-24 01:36:08.045423,2025-10-24 01:36:16.058879,0 days 00:00:08.013456,0.864803089169032,3.1877873567760657,0.0014369502768990666,6,4,331,0.9658611176861268,0.0001778010520878397,0.6625916610133735,COMPLETE
10,3.77033589425342,2025-10-24 01:36:16.060455,2025-10-24 01:36:42.592392,0 days 00:00:26.531937,0.9538323976412588,3.651834476035047,0.006315734705865418,9,10,484,0.0028615494462317257,5.358757267475074,0.7640858921203038,COMPLETE
11,3.766888206822402,2025-10-24 01:36:42.594203,2025-10-24 01:37:08.515858,0 days 00:00:25.921655,0.9982635852231622,3.5243297646637286,0.0065160164293506274,9,10,499,0.001818193908101475,9.778535932713558,0.7678121320177449,COMPLETE
12,3.7423476669661637,2025-10-24 01:37:08.517434,2025-10-24 01:37:32.974188,0 days 00:00:24.456754,0.9789035353260929,3.8596200619003547,0.007549011724636751,9,10,481,0.0018159403186996715,8.455981913483274,0.7405704110029582,COMPLETE
13,3.7946122512307845,2025-10-24 01:37:32.975905,2025-10-24 01:37:44.935628,0 days 00:00:11.959723,0.8768205957996089,4.149935948695589,0.008296531475697418,7,8,395,5.3722945151949684e-05,0.014775475739688114,0.7084623041637503,COMPLETE
14,3.7277247693897877,2025-10-24 01:37:44.937225,2025-10-24 01:38:20.189400,0 days 00:00:35.252175,0.8905664373338361,2.7939929152165717,0.013954500325889938,10,4,434,0.015936847132186974,0.03285224662400435,0.9974570808448973,COMPLETE
15,4.210438636891077,2025-10-24 01:38:20.191025,2025-10-24 01:39:07.880883,0 days 00:00:47.689858,0.8827503742849342,3.0180062101363934,0.0031228252104966913,10,4,436,0.010150237205903639,3.350924447503627e-05,0.9750505264229316,COMPLETE
16,3.7189680370777287,2025-10-24 01:39:07.882961,2025-10-24 01:39:43.910222,0 days 00:00:36.027261,0.8077202787994527,2.7367909466894615,0.010131446790036708,10,4,441,7.105458045938447e-05,1.314053143275926e-08,0.830299622914229,COMPLETE
17,3.7125340575469616,2025-10-24 01:39:43.912220,2025-10-24 01:40:28.609532,0 days 00:00:44.697312,0.8163274453502661,2.6263512347623514,0.012643978209022454,11,4,420,1.4110197474030303e-05,1.9356843184875068e-08,0.8448372126058836,COMPLETE
18,3.7923230469977876,2025-10-24 01:40:28.611554,2025-10-24 01:40:46.393339,0 days 00:00:17.781785,0.7957588354978627,1.2995106148773983,0.1170876823554888,10,1,417,0.00014021547203370562,1.6788507138306326e-08,0.8243081004602492,COMPLETE
19,5.822252367421057,2025-10-24 01:40:46.395055,2025-10-24 01:41:11.681331,0 days 00:00:25.286276,0.7703761020341203,2.491025122658857,0.0031535673119604526,11,3,132,4.8763693761522044e-08,2.455918006464903e-08,0.839162973579497,COMPLETE
20,3.7487674790738046,2025-10-24 01:41:11.682875,2025-10-24 01:41:57.414684,0 days 00:00:45.731809,0.8199212859905153,1.56491528571738,0.012903897480190987,12,5,279,6.481430878946252e-06,1.1317257008377556e-07,0.9196853013101984,COMPLETE
21,3.7170100055255615,2025-10-24 01:41:57.416187,2025-10-24 01:42:33.038215,0 days 00:00:35.622028,0.9232300367590744,2.856574167588295,0.014619719182226118,10,4,441,2.7592651826400363e-05,1.1997767064660219e-05,0.9867145705142458,COMPLETE
22,3.702299721663072,2025-10-24 01:42:33.039966,2025-10-24 01:43:27.151743,0 days 00:00:54.111777,0.9255066085194728,2.327122497128112,0.011988521846583909,11,3,438,9.574201007336883e-07,7.929091668734145e-06,0.82779203259063,COMPLETE
23,4.010137428635853,2025-10-24 01:43:27.153631,2025-10-24 01:44:36.295176,0 days 00:01:09.141545,0.9392678867935363,2.2094636024610916,0.004336387770764769,11,3,388,5.02341269249269e-07,9.247092728858002e-06,0.9400131173613441,COMPLETE
24,3.6986455872021593,2025-10-24 01:44:36.296919,2025-10-24 01:45:58.236899,0 days 00:01:21.939980,0.9157304548214577,3.2529368310431668,0.026369549720361037,11,3,459,6.704460074601667e-07,1.7800158965565618e-05,0.8683758372297471,COMPLETE
25,3.717733126523361,2025-10-24 01:45:58.238310,2025-10-24 01:46:37.269649,0 days 00:00:39.031339,0.8417057415085591,3.1640517149759297,0.028968705288603357,11,1,464,1.5450244271507118e-08,0.00014307953333619867,0.8727742887808472,COMPLETE
26,3.769670538028417,2025-10-24 01:46:37.271518,2025-10-24 01:46:48.386849,0 days 00:00:11.115331,0.7213882492464665,4.375220864822899,0.11275381271098586,8,3,367,3.2133934813898573e-07,3.357267195717146e-07,0.7977442168480302,COMPLETE
27,3.720294543163625,2025-10-24 01:46:48.388698,2025-10-24 01:47:20.893045,0 days 00:00:32.504347,0.9127844454652198,3.3717535624565276,0.03867149642475076,12,3,404,9.83035014326849e-07,3.5316515315240953e-06,0.8625009912396384,COMPLETE
28,3.7511256679475053,2025-10-24 01:47:20.894756,2025-10-24 01:47:49.576748,0 days 00:00:28.681992,0.8432445184319162,2.4148921227789093,0.08959118928333434,11,5,315,0.00040797523901153884,8.20448398571169e-08,0.800154949611161,COMPLETE
29,3.714069400328892,2025-10-24 01:47:49.578505,2025-10-24 01:48:34.108175,0 days 00:00:44.529670,0.9489005185431506,1.1529699754261107,0.024860148582753695,12,6,461,1.204635970332023e-05,0.0013832138630349186,0.9314788363747124,COMPLETE
30,4.140697558576503,2025-10-24 01:48:34.110188,2025-10-24 01:49:22.822384,0 days 00:00:48.712196,0.9101320728802786,0.6155467087603381,0.003950024548379726,9,2,373,1.6355602612975532e-06,5.530334670854145e-05,0.7116550526011796,COMPLETE
31,3.712176324857741,2025-10-24 01:49:22.823950,2025-10-24 01:50:11.581073,0 days 00:00:48.757123,0.9592351481352469,1.0918734705898585,0.023269892491324325,12,7,471,9.230567161045204e-06,0.0020725679404008843,0.9509678886024512,COMPLETE
32,3.703432733780167,2025-10-24 01:50:11.582780,2025-10-24 01:50:51.003423,0 days 00:00:39.420643,0.9648274039848191,0.7371392814405238,0.017595968402652377,11,7,498,1.7009313705595966e-07,0.00255909149140495,0.9496669706465635,COMPLETE
33,3.7162243824655654,2025-10-24 01:50:51.005193,2025-10-24 01:51:29.349104,0 days 00:00:38.343911,0.9608802806219063,0.5119875282737558,0.04088448931713019,12,7,497,2.490517122297921e-07,0.00395988195705322,0.9387655429198838,COMPLETE
34,3.7110921873348133,2025-10-24 01:51:29.350893,2025-10-24 01:52:11.789345,0 days 00:00:42.438452,0.9200850667937471,0.8374081728112257,0.0202600907501796,12,7,465,1.2686251430415555e-08,0.0006255211318170666,0.9528028040225438,COMPLETE
35,3.698563812588257,2025-10-24 01:52:11.790877,2025-10-24 01:52:45.046054,0 days 00:00:33.255177,0.911337162612453,0.07339242929245704,0.016838509802230832,11,8,458,1.4811849715003346e-08,0.010649253439952475,0.90250377197331,COMPLETE
36,3.9402245167680205,2025-10-24 01:52:45.047712,2025-10-24 01:53:03.561935,0 days 00:00:18.514223,0.9998315105009702,0.021345958158535794,0.2674210244066616,10,8,450,5.097076486631955e-08,0.03632720382229144,0.9036664354397544,COMPLETE
